repo	stars	forks	pushed_at	archived	license	language
disler/claude-code-hooks-mastery	3586	602	2026-03-04	false	none	Python
diet103/claude-code-infrastructure-showcase	9582	1218	2026-04-17	false	MIT	Shell
ChrisWiles/claude-code-showcase	5851	543	2026-01-06	false	none	JavaScript
parcadei/Continuous-Claude-v3	3739	289	2026-01-26	false	MIT	Python
davepoon/buildwithclaude	2833	327	2026-04-27	false	MIT	Python
nizos/tdd-guard	2031	150	2026-04-26	false	MIT	TypeScript
wesammustafa/Claude-Code-Everything-You-Need-to-Know	1696	191	2026-03-19	false	MIT	Python
appcypher/awesome-mcp-servers	5499	1321	2025-09-04	false	none	none
yzfly/Awesome-MCP-ZH	6950	526	2026-03-31	false	MIT	none
jaw9c/awesome-remote-mcp-servers	1050	273	2026-03-07	false	MIT	none
ComposioHQ/awesome-claude-plugins	1561	352	2026-04-21	false	none	JavaScript
agentsmd/agents.md	20718	1518	2026-03-12	false	MIT	TypeScript
microsoft/skills	2158	248	2026-04-27	false	MIT	TypeScript
google-labs-code/design.md	9565	785	2026-04-22	false	Apache-2.0	TypeScript
twostraws/SwiftAgents	1262	80	2026-03-05	false	none	none
Piebald-AI/tweakcc	1901	144	2026-04-27	false	MIT	TypeScript
wshobson/agents	34451	3732	2026-04-28	false	MIT	Python
ruvnet/ruflo	33746	3825	2026-04-28	false	MIT	TypeScript
Yeachan-Heo/oh-my-claudecode	31687	2935	2026-04-28	false	MIT	TypeScript
JackChen-me/open-multi-agent	5946	2322	2026-04-28	false	MIT	TypeScript
stellarlinkco/myclaude	2623	296	2026-04-09	false	AGPL-3.0	Go
jayminwest/overstory	1253	205	2026-04-21	false	MIT	TypeScript
Fission-AI/OpenSpec	43521	3016	2026-04-24	false	MIT	TypeScript
Pimzino/spec-workflow-mcp	4147	342	2026-03-07	false	GPL-3.0	TypeScript
Gentleman-Programming/agent-teams-lite	1182	144	2026-03-26	true	MIT	Shell
shotgun-sh/shotgun	657	33	2026-04-23	false	MIT	Python
ThibautBaissac/rails_ai_agents	517	58	2026-04-14	false	MIT	Python
tiandee/awesome-skills-hub	18	1	2026-02-10	false	MIT	Python
